student_id,age,gender,academic_level,study_hours,self_study_hours,online_classes_hours,social_media_hours,gaming_hours,sleep_hours,screen_time_hours,internet_quality,mental_health_score,focus_index,burnout_level,productivity_score,exam_score
54,18.05,Female,High School,6.99,3.21,3.8,1.49,2.47,8.75,10.61,Average,9.58,24.74,9.63,40.84,82.86
55,19.5,Male,High School,6.48,2.1,1.58,3.83,0.54,7.34,7.26,Average,8.24,19.78,17.49,30.16,55.5
56,20.62,Other,High School,2.91,2.03,1.85,4.77,2.14,6.53,1.6,Good,4.78,2.41,0.44,15.3,44.41
57,19.7,Female,High School,2.62,1.52,1.88,2.24,4.21,8.91,0.98,Good,5.58,6.36,0.08,18.89,23.51
58,24.73,Other,High School,5.11,2.34,0.9,3.33,1.66,5.5,4.54,Average,9.35,15.03,0.04,29.83,56.61
59,14.89,Other,High School,6.57,0.93,0.61,4.14,1.86,7.2,1.6,Average,6.69,15.64,0.96,39.37,46.97
60,19.62,Female,High School,5.07,3.66,1.89,4.88,0.59,6.73,6.35,Poor,1.17,7.66,32.51,14.65,29.64
61,19.17,Other,High School,1.84,4.43,1.46,2.28,1.49,6.11,6.59,Poor,8.7,9.69,11.32,19.64,27.77
62,21.6,Male,High School,4.73,0.0,2.47,3.45,0.32,7.3,6.81,Good,7.22,8.8,16.88,29.05,31.32
63,16.58,Other,High School,4.37,4.26,2.69,3.73,1.96,8.02,3.32,Good,5.51,10.04,13.52,22.1,24.38
64,17.19,Male,High School,7.37,1.58,1.75,0.91,4.5,5.84,8.45,Good,8.79,17.75,13.19,45.1,50.98
65,16.87,Female,High School,2.61,0.53,3.76,3.7,2.22,7.8,5.95,Poor,3.29,9.9,28.34,13.41,21.49
66,16.56,Other,High School,3.24,4.43,1.17,3.31,1.47,7.89,1.86,Average,10.15,3.74,0.0,26.54,53.05
67,17.7,Other,High School,5.46,0.74,1.93,0.81,2.03,6.98,9.72,Average,10.44,12.07,18.44,29.36,55.67
68,18.77,Other,High School,1.36,4.37,1.89,2.56,0.37,8.02,11.06,Good,0.72,8.82,14.01,3.14,16.5
69,21.07,Male,High School,5.19,2.67,2.61,5.7,2.21,6.25,9.79,Poor,3.05,14.28,53.91,14.73,40.15
70,22.18,Other,High School,4.21,1.05,0.51,4.41,1.96,8.81,4.6,Average,3.84,6.46,0.43,30.3,44.39
71,15.25,Other,High School,5.26,2.79,4.62,4.06,2.25,6.78,11.93,Poor,6.57,19.39,39.92,33.54,54.86
72,21.37,Other,High School,6.77,2.75,1.89,1.57,2.59,9.31,7.44,Average,8.14,27.98,0.0,42.61,67.08
73,16.43,Other,High School,6.84,1.83,2.37,2.01,0.0,7.48,9.5,Poor,1.47,16.27,11.72,30.01,29.94
74,19.9,Male,High School,4.81,0.35,0.0,1.33,0.12,7.65,5.25,Average,3.51,20.35,0.04,22.9,43.83
75,17.37,Female,High School,2.81,3.86,2.83,3.19,1.26,6.69,4.43,Average,3.08,14.67,14.96,15.09,47.65
76,15.5,Male,High School,3.5,0.0,1.6,3.48,2.51,6.68,8.01,Average,2.66,7.78,12.04,17.61,42.48
77,19.36,Female,High School,4.04,0.84,0.13,2.76,4.57,6.02,5.55,Poor,4.82,17.71,23.3,20.43,44.14
78,24.45,Other,High School,3.92,1.58,2.21,4.88,2.36,6.0,5.09,Poor,9.93,4.79,35.97,23.31,49.06
79,18.47,Male,High School,6.43,3.05,1.03,2.48,1.16,8.79,7.71,Average,9.77,20.54,4.02,29.51,63.5
80,22.17,Female,High School,5.94,2.29,2.5,2.72,1.59,8.52,6.45,Poor,8.11,17.4,6.33,45.21,56.91
81,21.62,Male,High School,4.0,3.49,2.29,4.88,3.76,4.77,9.04,Average,7.24,16.7,42.15,25.56,35.44
82,17.72,Other,High School,3.69,2.7,1.26,3.29,2.33,6.42,6.3,Good,0.73,9.39,16.7,18.25,22.29
83,16.62,Other,High School,3.61,4.25,3.22,0.65,0.39,6.02,7.59,Average,1.17,20.3,2.56,23.3,38.31
84,17.02,Other,High School,6.86,2.53,2.34,4.3,1.67,6.87,5.91,Poor,9.61,23.77,27.96,43.08,63.75
85,24.46,Other,High School,3.41,1.37,0.73,4.59,1.85,7.94,5.32,Poor,5.09,7.07,7.81,9.96,14.61
86,16.91,Female,High School,5.86,2.6,1.53,2.08,1.61,8.1,13.25,Good,4.15,17.74,5.6,35.83,53.91
87,21.17,Other,High School,5.83,0.0,3.21,2.17,0.98,6.79,4.8,Poor,10.63,21.91,13.41,45.86,73.46
88,20.74,Male,High School,2.94,3.88,0.79,1.83,3.15,7.69,4.48,Poor,2.64,12.17,10.49,16.71,36.56
89,21.01,Female,High School,3.79,2.32,3.37,2.63,4.09,5.23,5.71,Good,4.58,8.17,25.78,21.18,43.03
90,19.45,Other,High School,5.02,2.08,2.28,3.72,0.56,6.48,5.77,Average,10.7,20.81,13.23,38.12,64.55
91,17.45,Male,High School,4.79,2.19,1.51,2.69,2.68,6.09,9.15,Good,10.3,4.99,22.0,31.82,41.03
92,19.89,Male,High School,1.01,2.71,2.86,5.5,1.67,7.34,3.91,Poor,6.49,0.41,23.97,0.57,7.66
93,16.14,Male,High School,4.89,2.68,1.2,2.0,3.81,9.49,6.64,Average,5.16,10.65,0.64,30.83,34.96
94,17.2,Female,High School,8.11,4.28,1.31,1.18,0.0,8.47,10.31,Average,8.67,28.69,0.57,40.51,82.6
95,19.1,Other,High School,3.83,2.22,1.94,3.41,1.72,7.78,7.7,Average,6.24,8.43,17.79,16.13,36.7
96,16.09,Other,High School,6.93,4.23,0.63,2.18,2.96,7.53,6.27,Poor,5.44,20.43,0.34,48.01,72.37
97,19.76,Female,High School,3.09,0.0,3.5,3.68,2.59,6.65,8.32,Good,0.86,5.14,21.28,18.5,10.33
98,19.22,Other,High School,8.24,2.24,3.99,1.8,0.89,6.05,4.14,Good,6.7,30.4,11.09,50.8,79.79
99,22.63,Other,High School,5.71,1.06,1.53,2.73,0.8,7.9,10.93,Average,2.86,13.83,9.88,23.56,35.93
100,18.97,Male,High School,5.63,0.34,3.49,1.87,0.0,8.41,2.37,Good,4.04,16.7,0.0,24.82,35.53
101,15.82,Other,High School,6.88,2.22,2.91,1.36,1.93,7.67,6.28,Good,8.34,27.47,0.0,38.76,53.21
102,21.48,Female,High School,1.74,0.99,1.85,0.0,3.07,7.4,2.74,Good,2.42,5.01,0.0,6.46,21.25
103,17.37,Other,High School,6.91,0.26,1.36,1.4,1.79,5.52,7.91,Average,9.43,27.79,9.22,40.36,66.32
104,19.16,Female,High School,3.25,1.62,0.22,2.91,2.42,6.37,8.72,Good,9.44,0.22,7.63,18.09,38.31
105,21.64,Male,High School,5.31,0.0,2.72,3.63,2.72,5.35,0.49,Good,5.09,10.91,6.85,19.87,44.71
106,17.3,Other,High School,8.01,1.68,0.16,7.01,2.4,6.87,7.21,Poor,5.13,23.18,13.68,30.56,67.88
107,16.49,Female,High School,3.54,1.81,2.63,2.93,0.46,7.62,5.87,Good,4.83,13.16,30.28,18.51,33.24
108,19.85,Male,High School,8.36,3.78,0.96,7.45,0.33,7.06,6.78,Good,1.48,26.67,14.05,33.88,52.48
109,23.01,Female,High School,4.56,3.27,2.93,2.52,3.16,6.63,3.98,Average,4.36,13.39,25.33,30.0,47.17
110,19.29,Other,High School,2.93,1.75,2.11,2.71,1.54,7.45,3.32,Good,9.39,2.32,0.0,21.51,44.45
111,17.75,Male,High School,8.4,1.26,0.0,4.14,1.85,4.54,5.32,Good,1.7,24.37,12.05,44.75,43.27
112,15.42,Other,High School,3.57,4.17,0.0,0.43,2.04,6.18,1.21,Poor,1.74,18.0,0.0,18.56,29.29
113,16.1,Male,High School,5.89,1.29,2.4,0.01,0.68,6.0,4.54,Good,2.43,20.57,6.74,24.9,43.36
114,19.75,Female,High School,6.23,2.14,3.55,3.63,1.82,7.96,6.4,Poor,8.39,21.52,4.84,45.61,71.98
115,18.8,Male,High School,5.55,0.79,1.98,4.58,1.34,5.87,4.91,Poor,7.2,24.56,43.56,35.16,80.84
116,17.7,Male,High School,3.23,1.58,4.46,2.49,1.5,3.82,6.87,Average,10.3,2.4,40.99,28.56,50.11
117,17.99,Female,High School,4.9,0.48,0.74,1.62,0.11,9.01,7.35,Poor,3.75,12.36,0.16,24.83,35.75
118,21.05,Female,High School,6.25,2.26,1.97,0.37,0.12,7.22,3.21,Average,4.5,28.59,0.11,35.28,63.55
119,21.56,Male,High School,3.13,1.51,0.84,5.68,3.05,6.13,5.5,Good,5.79,17.2,31.52,17.04,36.93
120,19.0,Male,High School,4.09,2.81,1.33,3.88,2.57,8.84,8.4,Average,3.34,16.14,4.35,21.43,36.85
121,22.04,Male,High School,4.44,2.79,1.4,2.85,1.86,5.4,1.42,Average,2.18,9.52,11.25,8.95,18.63
122,19.69,Other,High School,5.75,3.07,1.77,3.52,1.7,6.38,1.82,Poor,7.61,18.66,0.06,42.2,50.96
123,17.97,Other,High School,0.88,1.45,0.59,4.33,2.49,7.21,3.17,Good,2.24,0.77,0.69,5.38,7.29
124,19.49,Female,High School,8.87,1.72,0.39,3.11,0.04,5.87,7.72,Average,1.39,28.61,18.33,32.85,72.36
125,24.15,Female,High School,4.5,3.33,0.2,2.43,2.02,4.59,4.95,Good,10.51,19.38,11.91,33.35,60.9
126,23.1,Male,High School,0.0,1.69,2.38,2.78,0.05,7.74,5.99,Average,8.05,0.94,10.22,0.43,24.07
127,17.19,Male,High School,7.37,1.58,1.75,0.91,4.5,5.84,8.45,Good,8.79,17.75,13.19,45.1,50.98
128,23.97,Male,High School,2.35,2.46,0.38,4.89,0.33,5.04,10.03,Good,0.17,12.14,18.97,7.16,4.14
129,21.79,Male,High School,6.93,2.07,0.32,3.95,3.89,8.77,8.33,Poor,1.44,19.74,15.71,24.9,45.47
130,19.77,Female,High School,5.16,0.99,0.58,2.68,2.98,8.46,7.87,Good,5.56,17.38,11.14,29.78,56.28
131,20.4,Female,High School,1.5,0.0,2.29,2.42,1.6,5.49,5.81,Good,5.94,0.0,10.07,17.61,20.23
132,18.63,Female,High School,3.99,2.88,0.0,3.18,3.42,6.28,7.53,Average,8.64,13.81,5.21,30.82,47.6
133,20.58,Other,High School,6.89,3.37,1.35,1.73,0.48,9.47,3.51,Good,1.36,27.18,0.0,44.24,51.36
134,17.72,Male,High School,2.16,2.66,1.67,2.84,0.15,6.31,8.75,Average,1.18,10.49,8.22,5.51,4.18
135,16.98,Male,High School,4.51,0.84,3.47,3.16,2.39,7.63,5.77,Poor,10.3,12.93,21.75,22.54,41.38
136,18.83,Female,High School,5.21,2.07,2.76,2.98,3.22,8.14,9.3,Average,8.48,21.9,14.29,36.06,69.47
137,24.55,Male,High School,1.37,2.77,0.93,5.14,1.38,8.23,3.08,Good,9.71,6.7,20.21,6.18,9.34
138,16.34,Other,High School,2.71,1.7,3.58,3.12,2.99,7.47,6.98,Average,7.18,5.04,22.52,21.15,17.74
139,18.12,Female,High School,3.94,1.96,2.67,3.63,1.21,6.98,12.46,Poor,2.65,20.47,33.84,21.1,35.15
140,19.68,Male,High School,4.56,1.94,1.09,0.0,1.5,5.75,9.47,Poor,9.03,24.47,5.26,36.97,71.94
141,22.38,Other,High School,4.1,1.84,2.9,3.3,2.63,7.11,6.36,Average,10.2,0.0,18.79,30.36,37.4
142,18.13,Female,High School,5.22,1.27,2.4,1.38,0.41,9.28,7.25,Average,2.75,15.5,2.72,24.68,42.2
143,18.53,Other,High School,4.95,2.87,1.97,2.9,1.12,8.75,4.51,Poor,3.57,14.14,0.47,25.49,57.21
144,16.62,Other,High School,3.61,4.25,3.22,0.65,0.39,6.02,7.59,Average,1.17,20.3,2.56,23.3,38.31
145,18.78,Female,High School,1.61,1.33,1.35,4.63,2.11,8.1,4.07,Poor,2.54,5.91,20.64,16.6,19.5
146,16.6,Male,High School,2.9,1.84,2.44,4.52,1.39,7.1,6.06,Good,2.55,7.61,32.11,8.5,21.27
147,22.3,Other,High School,3.47,1.55,0.25,4.85,2.87,5.3,12.23,Good,3.78,19.66,47.9,10.95,21.04
148,19.62,Other,High School,7.03,0.97,2.8,1.93,3.3,5.65,4.35,Good,9.87,18.99,26.44,38.46,62.78
149,20.41,Female,High School,4.18,1.44,2.47,5.07,1.82,6.73,2.46,Good,0.56,4.56,34.96,9.8,16.26
150,18.27,Male,High School,4.22,0.76,2.1,1.61,2.7,7.92,6.32,Average,2.24,10.69,0.05,21.18,40.31
151,19.76,Other,High School,3.99,0.0,0.95,2.77,2.24,5.56,6.42,Poor,0.16,7.31,7.16,16.08,29.16
152,16.47,Other,High School,5.12,2.39,3.83,5.14,1.48,8.69,5.04,Average,0.86,8.2,9.46,19.27,25.6
153,21.71,Other,High School,4.82,4.01,1.27,1.49,2.2,7.27,7.08,Good,6.06,20.98,3.22,30.91,42.85
154,20.25,Other,High School,2.72,1.96,2.73,2.48,2.76,6.26,9.68,Average,9.14,5.31,24.47,14.57,29.99
155,19.78,Male,High School,9.31,2.24,1.66,1.9,1.57,6.54,10.76,Poor,3.37,32.06,30.32,44.46,61.18
156,25.54,Female,High School,5.89,4.09,2.71,3.64,2.56,7.25,3.94,Poor,6.32,15.71,20.71,34.96,44.79
157,20.24,Female,High School,2.43,2.71,1.72,1.67,2.3,9.52,6.33,Poor,2.1,9.36,4.07,17.86,42.22
158,17.51,Male,High School,4.86,2.68,2.43,0.62,2.36,7.67,5.71,Good,5.1,25.93,21.4,21.07,49.17
159,19.19,Female,High School,9.4,2.29,1.92,2.94,1.37,9.21,8.11,Poor,6.22,36.38,0.76,41.28,79.11
160,19.33,Female,High School,3.71,5.33,1.59,2.69,1.54,8.46,4.16,Poor,2.3,12.1,5.48,12.95,25.1
161,18.58,Male,High School,5.98,1.43,2.76,1.83,2.27,7.49,5.85,Good,0.73,24.48,25.13,28.51,63.38
162,19.98,Other,High School,4.16,1.6,3.12,1.98,3.69,8.96,10.55,Good,4.54,8.82,21.53,15.19,23.48
163,16.11,Male,High School,3.22,1.05,3.61,2.9,2.59,9.09,8.73,Average,8.46,11.11,17.57,22.75,38.77
164,16.94,Male,High School,7.31,1.37,2.34,5.06,0.37,9.35,3.86,Average,9.02,19.38,7.98,31.18,78.13
165,17.22,Male,High School,7.76,3.14,2.41,1.08,0.82,9.03,1.32,Poor,4.15,31.22,0.36,41.29,70.33
166,21.35,Other,High School,4.97,2.71,2.83,2.33,2.56,7.54,12.69,Good,4.9,17.14,30.81,27.7,49.04
167,18.11,Female,High School,3.64,4.6,2.45,2.06,2.85,4.99,1.44,Poor,8.85,23.53,0.0,45.4,59.38
168,24.01,Other,High School,2.85,1.74,1.17,2.65,1.85,7.67,7.81,Average,9.6,4.46,9.21,30.62,47.23
169,23.34,Female,High School,5.0,1.85,1.61,3.86,1.5,4.7,8.15,Average,4.11,17.5,20.19,22.08,59.6
170,20.16,Female,High School,4.44,2.71,0.31,2.0,2.15,7.64,6.91,Average,9.36,19.76,2.01,27.76,42.95
171,16.55,Female,High School,6.41,1.0,3.73,3.72,3.5,6.66,3.2,Average,8.23,18.01,27.46,34.68,56.22
172,17.23,Female,High School,6.38,2.88,3.91,2.84,0.13,7.17,8.75,Good,3.79,26.63,19.06,31.18,54.17
173,17.79,Female,High School,6.86,2.6,1.37,0.54,0.0,6.07,8.8,Good,5.15,33.42,0.05,39.57,61.96
174,22.81,Male,High School,5.7,3.8,2.05,1.97,0.68,8.2,3.69,Good,7.31,20.98,0.0,37.55,56.53
175,16.75,Other,High School,4.8,1.94,3.5,3.63,2.43,6.52,6.45,Average,2.82,14.77,18.45,21.41,48.03
176,19.88,Other,High School,2.24,3.35,1.57,4.57,1.17,5.85,3.21,Good,2.69,7.39,0.82,7.49,25.62
177,18.25,Other,High School,4.35,0.0,2.49,1.64,3.01,8.03,7.47,Good,3.74,8.16,11.33,27.6,53.29
178,16.74,Male,High School,5.41,2.58,1.24,3.72,1.95,6.09,3.67,Poor,5.31,17.95,6.17,29.57,35.24
179,19.23,Female,High School,4.21,3.95,0.42,1.58,1.11,7.46,9.08,Average,3.67,16.76,0.0,18.83,17.03
180,22.81,Other,High School,2.58,3.52,0.2,2.44,1.12,7.31,4.9,Poor,0.16,16.88,4.44,5.39,13.33
181,15.89,Male,High School,5.52,0.21,0.0,2.8,1.63,9.28,11.04,Average,8.22,8.52,7.86,32.66,44.88
182,20.8,Female,High School,4.29,4.51,1.87,4.15,1.16,7.38,4.62,Poor,9.5,13.99,6.47,27.15,53.13
183,17.1,Other,High School,4.67,0.18,1.9,1.69,1.26,7.06,6.1,Average,4.32,19.49,0.23,24.1,34.68
184,22.54,Female,High School,8.13,2.06,2.82,3.86,2.63,4.37,7.31,Good,3.26,25.98,19.33,40.14,54.87
185,22.54,Male,High School,6.07,1.54,1.27,5.1,1.83,5.92,1.48,Good,2.07,12.18,0.0,19.63,26.86
186,17.04,Female,High School,3.23,2.84,5.63,0.0,0.54,6.48,4.74,Poor,3.78,13.78,0.72,18.94,32.58
187,22.89,Other,High School,6.43,2.1,2.0,1.15,0.92,7.69,6.75,Average,9.17,20.7,1.94,44.34,79.36
188,17.31,Other,High School,1.85,0.0,0.28,0.02,3.44,5.73,6.76,Poor,5.64,0.38,19.17,16.25,6.24
189,16.56,Female,High School,4.89,4.04,0.0,0.01,1.28,8.37,4.71,Poor,3.74,21.98,0.17,38.56,48.44
190,20.36,Other,High School,3.26,1.0,3.94,4.28,0.11,8.72,2.58,Good,8.76,10.33,13.44,26.85,41.32
191,16.76,Male,High School,7.76,3.81,4.19,3.64,2.08,6.88,10.08,Poor,5.51,24.08,24.22,32.86,45.24
192,19.18,Male,High School,6.68,0.87,2.49,3.12,2.43,5.93,10.53,Good,5.57,17.57,30.41,34.49,77.02
193,18.03,Female,High School,3.94,2.06,0.0,5.82,2.23,5.27,5.29,Good,10.48,3.33,8.19,24.69,28.81
194,18.34,Male,High School,6.39,3.57,4.14,1.96,0.89,6.86,6.37,Average,4.3,24.42,24.26,25.26,47.26
195,21.9,Male,High School,5.68,4.86,0.94,2.47,1.79,6.98,6.82,Poor,0.7,25.21,0.15,31.2,55.83
196,20.89,Female,High School,3.95,3.73,0.07,1.28,2.93,8.0,9.71,Poor,8.28,13.92,10.45,33.14,62.74
197,20.4,Male,High School,5.45,3.45,0.62,5.37,1.33,7.05,4.1,Good,6.84,25.42,1.11,25.26,47.83
198,20.52,Female,High School,1.22,4.25,1.08,4.75,1.79,5.62,5.8,Good,5.49,11.82,5.53,6.19,6.77
199,19.76,Male,High School,4.41,1.03,2.32,1.93,2.35,4.48,9.39,Good,4.49,1.07,15.2,19.28,46.12
200,23.17,Male,High School,4.9,0.61,2.68,2.33,1.18,6.35,3.93,Average,7.74,25.44,0.19,45.27,61.02
201,19.09,Female,High School,4.53,2.97,5.18,0.0,1.98,8.33,9.89,Average,4.87,25.45,3.01,28.84,33.6
202,22.18,Other,High School,4.21,1.05,0.51,4.41,1.96,8.81,4.6,Average,3.84,6.46,0.43,30.3,44.39
203,22.41,Other,High School,5.67,2.91,0.75,4.99,3.21,6.61,9.61,Average,3.63,15.13,29.83,23.48,51.95
204,18.7,Other,High School,6.42,1.81,2.17,5.11,2.12,7.85,10.16,Average,9.2,19.19,19.85,42.62,54.82
205,19.81,Male,High School,3.61,1.75,2.35,3.37,1.45,8.81,0.82,Good,10.56,16.24,1.8,27.61,26.19
206,16.32,Female,High School,6.5,1.78,2.4,4.38,1.56,7.39,5.78,Average,9.78,20.81,20.77,40.55,79.55
207,18.4,Male,High School,4.32,1.31,0.13,0.45,1.46,6.6,7.89,Average,7.45,16.36,1.78,39.76,60.13
208,23.49,Male,High School,2.0,3.69,2.3,3.13,2.22,6.12,6.1,Good,4.18,0.0,31.59,7.75,28.06
209,17.21,Female,High School,1.69,1.17,2.95,2.67,0.94,7.63,2.41,Average,2.82,0.0,0.0,8.79,16.66
210,17.69,Other,High School,4.52,1.36,2.66,3.45,1.13,8.98,3.18,Poor,3.87,12.96,0.0,29.21,32.49
211,17.82,Female,High School,9.3,0.56,2.5,2.86,1.22,5.43,8.06,Average,7.98,25.27,42.0,57.04,74.86
212,24.84,Female,High School,2.36,3.14,4.64,5.86,1.5,7.97,5.93,Good,4.45,6.42,12.62,12.84,2.1
213,24.38,Other,High School,4.14,4.21,0.93,4.76,2.15,8.92,3.51,Good,8.03,10.1,3.04,20.6,37.05
214,16.11,Female,High School,6.83,2.63,3.81,5.29,1.11,8.62,4.2,Poor,5.73,16.93,23.66,34.52,37.14
215,19.47,Female,High School,5.1,2.08,2.13,2.1,3.26,5.37,5.4,Good,4.23,8.35,14.43,26.99,22.37
216,21.25,Male,High School,5.99,2.95,0.44,3.9,1.44,7.92,4.92,Average,9.81,24.99,0.08,34.34,49.5
217,20.9,Male,High School,2.08,1.17,2.49,3.98,1.39,5.86,5.98,Good,6.87,0.14,25.52,17.69,26.97
218,22.46,Other,High School,5.91,3.0,2.77,3.32,0.0,6.71,7.57,Good,5.39,11.23,27.0,30.69,39.19
