student_id,age,gender,academic_level,study_hours,self_study_hours,online_classes_hours,social_media_hours,gaming_hours,sleep_hours,screen_time_hours,exercise_minutes,caffeine_intake_mg,part_time_job,upcoming_deadline,internet_quality,mental_health_score,focus_index,burnout_level,productivity_score,exam_score
46,18,Female,High School,7.24,2.22,1.6,3.7,2.39,5.93,6.58,139,50,1,0,Good,5,31.01,37.7,46.71,29.326023000802355
47,20,Female,Undergraduate,5.66,2.71,2.42,2.45,3.89,7.74,6.54,128,48,1,1,Average,3,27.49,43.1,29.45,10.6311848087724
48,20,Male,High School,4.73,0.71,2.8,4.93,2.1,6.68,5.94,141,166,0,1,Average,2,6.54,41.12,15.82,4.3861995185878575
49,22,Other,High School,4.14,2.22,1.53,3.58,0.0,7.56,6.66,124,381,0,1,Good,3,22.55,49.82,23.31,22.024605509494517
50,19,Female,Undergraduate,6.14,2.62,2.25,2.36,0.0,7.07,6.6,68,14,1,0,Good,6,40.88,40.04,62.99,51.230275474725865
51,16,Other,Postgraduate,2.29,3.85,2.97,4.0,1.1,6.12,7.09,118,309,0,1,Average,6,26.45,48.16,13.75,5.790318266916287
52,22,Other,Undergraduate,6.8,1.4,4.26,5.88,0.0,6.73,7.25,131,247,1,0,Poor,2,23.45,30.69,45.1,35.63787108852634
53,20,Female,Undergraduate,2.86,3.1,1.29,1.94,1.53,6.36,6.79,67,93,1,1,Poor,4,28.87,64.48,18.61,20.6071142016582
54,23,Female,High School,4.56,0.0,2.18,6.37,2.51,5.95,11.87,105,173,1,0,Average,9,20.7,55.93,40.61,20.861192832308102
55,22,Female,Postgraduate,6.94,0.34,0.26,3.01,1.33,5.29,6.28,130,207,0,0,Average,3,29.18,37.44,42.93,34.79539983952928
56,23,Other,Undergraduate,2.1,1.94,1.29,0.0,0.58,5.78,7.18,105,273,0,1,Average,4,31.6,66.0,15.84,7.702594276544531
57,17,Other,Undergraduate,1.97,4.43,2.65,0.0,1.3,5.26,10.49,75,327,1,0,Poor,9,35.02,67.82,32.16,1.337255950788981
58,21,Male,High School,4.08,2.64,2.08,3.37,2.55,6.79,5.77,134,405,1,1,Good,10,42.23,61.42,48.76,31.746456271730406
59,23,Female,Undergraduate,4.65,1.76,1.15,3.25,2.39,6.29,6.1,113,63,1,1,Average,1,13.62,47.62,23.81,13.546402781492379
60,25,Male,Postgraduate,3.53,3.33,1.42,3.15,1.38,7.07,5.49,5,278,0,1,Good,9,39.46,49.23,39.34,30.074886333244184
61,18,Other,Undergraduate,6.63,1.37,2.28,3.55,1.63,7.76,3.8,128,337,0,1,Average,2,32.9,32.52,42.01,35.22332174378176
62,20,Male,Postgraduate,6.13,3.57,2.05,2.71,2.68,7.33,2.41,110,23,1,0,Good,2,22.34,35.07,28.39,11.17945974859588
63,24,Other,Postgraduate,4.56,2.66,2.92,0.58,2.82,8.19,5.7,43,473,0,0,Average,9,45.86,27.85,65.02,53.63733618614602
64,17,Male,Undergraduate,4.05,4.6,2.52,0.03,2.32,6.88,3.77,47,299,1,0,Average,2,29.45,38.16,20.45,13.439422305429261
65,18,Male,High School,3.05,2.15,4.48,2.49,1.15,6.25,4.76,26,171,1,0,Good,1,13.54,43.27,17.14,1.337255950788981
66,17,Female,Postgraduate,6.31,0.38,2.95,2.87,0.31,7.54,6.94,57,119,1,0,Good,8,34.49,22.37,56.05,34.14014442364269
67,17,Male,High School,6.32,3.38,2.51,3.11,1.09,5.08,2.32,117,93,1,1,Poor,6,42.24,66.5,46.57,24.08397967370955
68,19,Male,Undergraduate,4.5,2.66,2.37,1.01,1.09,9.18,6.38,76,302,1,0,Poor,1,29.04,27.5,35.08,30.91735758224124
69,21,Female,High School,4.9,1.56,3.26,3.08,1.54,7.48,6.29,17,441,0,0,Poor,3,29.04,38.91,27.83,20.272800213960952
70,25,Female,High School,2.27,2.75,0.0,1.24,2.81,6.92,3.68,97,244,1,1,Poor,7,31.7,61.19,20.69,16.501738432736023
71,16,Other,Undergraduate,8.65,1.34,2.33,1.51,1.43,8.63,5.45,41,270,0,0,Poor,6,43.23,21.17,75.28,64.93714897031292
72,24,Male,Postgraduate,5.69,4.16,0.87,2.69,1.24,6.32,5.94,40,84,1,0,Average,4,25.43,36.8,42.64,24.351430863867346
73,17,Female,Undergraduate,7.55,3.95,3.31,2.03,3.44,7.4,7.56,148,414,1,1,Good,1,30.78,63.65,44.46,29.352768119818133
74,22,Male,High School,5.53,3.05,4.04,0.55,2.05,7.29,6.32,70,89,1,1,Poor,1,33.88,52.24,29.89,24.097352233217435
75,19,Other,High School,0.5,1.05,0.68,3.82,1.7,10.0,1.0,132,313,0,0,Good,6,11.17,10.42,25.38,19.390211286440223
76,19,Male,High School,5.21,0.0,1.85,1.02,0.82,7.66,3.17,2,93,0,1,Good,4,21.89,37.07,31.25,21.569938486226263
77,21,Male,Postgraduate,6.81,1.2,1.34,2.4,1.0,4.95,7.73,24,470,0,0,Poor,9,50.33,45.28,70.97,59.78871355977534
78,25,Other,Postgraduate,2.78,2.04,1.49,3.87,0.68,9.29,10.91,87,456,0,0,Average,8,32.16,25.43,31.24,27.413746991174108
79,23,Other,Postgraduate,3.76,0.78,0.79,4.21,0.0,6.99,7.71,85,453,1,0,Average,1,16.38,47.36,23.07,1.4308638673442098
80,25,Male,Postgraduate,4.22,3.31,1.52,1.43,0.0,7.43,8.74,41,187,1,0,Average,8,54.44,51.65,49.8,45.5335651243648
81,18,Other,Undergraduate,5.69,2.27,0.0,2.93,3.94,7.11,11.02,28,200,0,0,Average,5,21.93,37.07,37.68,24.953196041722386
82,19,Other,Undergraduate,3.4,3.27,1.3,4.21,1.96,8.95,9.85,134,163,1,0,Poor,1,7.28,34.14,8.31,1.337255950788981
83,19,Other,Undergraduate,1.34,3.68,0.92,2.28,0.65,6.43,4.78,48,153,0,0,Average,2,22.99,23.83,12.52,7.475260764910403
84,19,Other,Postgraduate,4.64,0.24,1.93,3.6,0.0,7.2,6.08,91,165,1,1,Poor,4,26.51,48.95,32.69,18.20005349023803
85,24,Other,High School,1.24,4.08,1.28,1.91,2.06,9.74,3.47,56,110,1,1,Poor,8,39.96,38.65,28.36,33.31104573415352
86,22,Other,High School,6.32,2.73,0.0,1.86,0.56,5.56,5.44,35,419,1,1,Good,4,29.22,67.75,39.64,21.155389141481677
87,25,Female,Postgraduate,4.18,3.72,0.74,0.41,2.47,7.71,8.94,115,178,0,0,Good,2,22.56,30.24,33.13,10.617812249264508
88,23,Other,Postgraduate,6.14,4.16,1.49,3.04,0.0,7.93,6.71,63,299,1,0,Average,4,39.69,35.67,40.46,35.99893019523937
89,22,Female,Postgraduate,3.28,4.08,1.62,1.31,0.51,5.65,6.91,2,320,1,0,Good,1,20.83,49.26,19.22,10.270125702059374
90,19,Other,Undergraduate,8.29,4.72,2.4,1.98,2.25,6.8,9.42,44,52,1,1,Good,2,25.75,62.19,33.98,21.369350093607917
91,25,Female,Postgraduate,0.02,2.11,2.93,4.46,3.69,6.67,9.27,79,366,0,0,Average,2,10.16,40.66,1.0,1.337255950788981
92,22,Male,Undergraduate,1.48,2.07,0.0,0.0,0.9,7.42,5.48,73,299,0,0,Good,7,33.95,13.38,41.01,30.676651511099223
93,22,Other,High School,4.62,2.49,1.59,3.21,0.0,8.96,7.46,128,88,1,0,Good,7,44.31,31.53,66.46,60.443968975661946
94,22,Female,High School,4.41,2.24,0.91,3.16,4.36,6.16,7.24,103,496,0,1,Poor,9,28.75,54.8,49.14,25.72880449317999
95,17,Male,Undergraduate,5.62,2.31,2.26,2.69,2.2,9.8,13.42,40,440,1,0,Average,10,39.54,51.03,66.62,43.60791655522867
96,19,Other,Undergraduate,4.38,2.46,0.21,5.14,2.55,9.81,6.02,67,233,0,0,Average,9,26.9,14.68,62.47,45.720780957475256
97,20,Male,High School,6.37,3.86,3.24,2.75,0.0,7.44,8.77,100,487,1,0,Poor,3,28.83,47.42,31.59,22.693233484889006
98,19,Male,Postgraduate,6.93,3.54,0.66,5.24,3.17,8.1,3.11,63,383,1,1,Average,6,43.45,44.77,61.38,46.42952661139342
99,17,Other,Undergraduate,5.41,4.64,2.98,1.05,3.74,8.13,1.53,109,32,0,1,Poor,6,40.36,25.33,48.99,48.635998930195235
100,16,Male,High School,4.5,2.63,1.72,2.99,1.65,8.87,1.0,47,149,1,0,Average,1,22.38,20.02,30.39,24.645627173040918
101,20,Female,High School,4.84,1.24,1.41,2.13,2.27,6.39,7.0,150,266,0,1,Average,5,12.87,7.02,37.48,38.61995185878577
102,19,Male,High School,4.56,1.63,3.29,4.42,2.37,7.16,9.14,133,400,1,0,Average,4,7.04,35.88,22.12,39.14148167959347
103,22,Other,High School,3.45,1.22,1.48,0.68,0.65,8.14,4.54,64,88,0,1,Average,6,15.91,0.0,20.42,24.04386199518588
104,16,Male,High School,4.22,1.18,1.98,1.82,2.38,6.84,4.42,92,194,1,0,Poor,4,7.61,10.43,20.18,35.74485156458947
105,22,Male,High School,6.11,0.93,2.55,1.44,2.49,4.0,4.86,37,0,0,0,Good,8,22.88,27.43,41.68,57.15431933672105
106,20,Male,High School,5.73,2.09,2.11,4.65,2.73,8.32,6.68,62,58,1,0,Good,7,12.27,13.94,35.0,43.94223054292591
107,18,Male,High School,3.39,3.5,2.74,4.35,2.67,8.78,7.8,94,212,0,1,Average,5,9.95,9.06,17.95,43.11313185343675
108,16,Other,High School,5.27,3.02,3.58,2.37,1.79,7.66,6.55,110,232,1,1,Average,4,25.29,3.04,25.95,35.67798876705001
109,25,Other,High School,3.64,0.99,3.71,3.56,1.27,6.41,8.87,99,262,1,0,Good,8,2.97,23.44,12.95,31.71971115271463
110,16,Other,High School,1.67,2.32,3.36,2.85,2.43,7.72,5.56,48,271,0,1,Good,4,4.78,1.14,8.08,1.337255950788981
111,21,Male,High School,1.29,2.55,2.01,1.05,2.83,7.83,6.63,130,105,1,0,Poor,10,11.76,13.86,23.33,26.477667825621825
112,21,Other,High School,3.27,2.01,3.67,1.48,2.02,4.0,7.64,150,421,0,0,Average,3,9.0,45.09,13.39,23.95025407863065
113,18,Other,High School,6.8,2.95,0.0,3.39,1.51,7.16,3.74,150,0,1,0,Good,8,19.81,0.0,33.53,50.72211821342605
114,19,Male,High School,5.16,0.96,0.32,2.26,0.45,5.03,7.23,150,150,0,0,Good,7,12.71,11.02,31.39,29.005081572613
115,23,Male,High School,3.6,1.46,1.89,3.97,2.17,7.42,3.11,59,0,0,0,Poor,3,13.96,13.19,16.25,32.909868948916824
116,18,Male,High School,2.15,2.95,0.57,3.61,2.0,9.17,9.16,150,39,1,0,Poor,3,2.1,5.61,12.1,12.11553891414817
117,24,Other,High School,2.76,2.41,0.69,3.78,1.9,5.75,12.9,25,91,0,0,Good,10,12.88,32.89,19.73,59.8422037978069
118,19,Female,High School,8.55,3.14,1.13,7.29,1.79,5.14,7.2,150,287,1,0,Average,10,15.99,33.27,34.09,65.07087456539182
119,16,Other,High School,4.4,1.69,1.0,4.4,1.76,6.53,4.39,93,361,0,0,Poor,7,0.0,8.96,22.24,28.16261032361594
120,22,Male,High School,2.77,0.0,3.02,3.12,0.0,8.64,7.71,95,42,1,1,Average,2,7.82,22.76,14.65,10.417223856646162
121,17,Male,High School,5.16,0.58,2.03,3.08,0.0,7.98,8.5,22,51,1,1,Poor,8,18.03,0.64,31.44,56.83337790853169
122,19,Male,High School,5.56,2.78,0.83,0.83,3.01,5.21,7.3,128,84,0,1,Good,7,16.97,9.69,38.61,54.27921904252474
123,18,Male,High School,1.56,2.09,1.2,2.93,2.58,7.19,5.35,65,334,0,0,Average,6,2.51,13.0,9.58,18.440759561380045
124,22,Female,High School,2.34,0.61,0.18,4.29,0.96,5.61,6.58,100,332,1,0,Average,9,8.01,17.38,19.33,32.481947044664345
125,22,Female,High School,4.8,2.07,2.12,2.36,2.85,7.62,9.85,102,0,1,0,Average,5,11.2,23.95,25.82,35.26343942230543
126,17,Female,High School,4.42,0.54,1.07,2.83,0.94,6.47,9.25,140,0,0,0,Average,3,23.33,14.28,22.13,24.69911741107248
127,20,Other,High School,2.34,1.14,0.54,1.86,0.62,7.34,7.22,42,175,1,1,Poor,5,6.2,0.0,15.35,10.818400641882855
128,16,Male,High School,6.1,1.55,1.86,1.62,1.65,6.74,4.24,97,138,0,1,Good,2,25.8,1.77,38.35,45.09227066060444
129,18,Female,High School,1.25,1.82,0.24,3.9,1.38,6.11,2.82,46,151,0,1,Average,10,6.67,0.93,12.65,25.608451457608982
130,16,Female,High School,5.48,1.03,2.38,3.14,1.75,4.5,3.29,26,198,0,0,Poor,10,15.75,21.82,29.49,44.343407328162606
131,17,Female,High School,5.79,2.36,1.25,2.41,0.59,5.35,6.9,28,119,1,0,Good,4,27.85,4.88,29.5,39.54265846483017
132,17,Other,High School,3.47,2.14,1.62,2.04,2.06,6.27,6.65,92,13,1,0,Poor,3,21.9,0.0,24.5,22.479272532762767
133,19,Male,High School,5.48,3.43,1.67,2.92,1.08,8.58,8.75,109,248,0,0,Average,9,20.16,3.64,28.43,54.02514041187483
134,16,Male,High School,3.79,1.8,0.56,3.44,2.28,7.53,7.35,57,0,0,0,Poor,1,5.75,5.28,13.55,37.02861727734689
135,17,Other,High School,6.16,2.31,1.01,0.95,2.07,6.0,7.38,102,36,0,1,Good,8,20.35,6.85,39.07,52.32682535437283
136,16,Male,High School,5.27,2.24,0.59,5.47,0.44,5.62,9.86,112,286,0,1,Average,5,12.23,12.43,23.21,43.07301417491308
137,23,Female,High School,8.08,2.69,4.91,3.92,1.89,5.49,4.57,46,26,1,0,Poor,10,37.29,32.62,49.72,61.60738165284836
138,19,Female,High School,1.36,3.88,3.71,3.76,1.04,5.76,6.19,150,0,0,0,Good,6,5.04,28.68,7.98,16.80930730141749
139,17,Other,High School,3.85,0.62,1.75,4.16,1.7,7.71,6.39,112,87,1,1,Poor,5,8.93,7.9,22.63,49.45172506017651
140,23,Other,High School,4.55,2.27,3.29,3.39,1.22,7.08,14.0,147,164,1,0,Average,10,16.37,27.95,46.02,53.39663011500401
141,19,Female,High School,6.35,2.54,0.6,1.76,2.68,8.11,8.39,78,103,1,1,Poor,3,17.4,0.0,33.77,43.79513238833913
142,16,Other,High School,1.83,2.24,2.3,3.1,1.22,6.79,6.31,88,290,0,0,Good,8,2.95,9.61,14.39,24.271195506820003
143,19,Female,High School,4.08,2.9,2.0,2.39,0.88,8.09,7.67,150,19,1,1,Good,2,8.73,6.95,26.13,11.741107247927252
144,20,Other,High School,0.01,1.31,2.62,3.33,0.0,6.63,5.91,62,199,0,0,Average,6,2.19,14.07,1.56,9.400909334046537
145,22,Other,High School,1.86,1.48,2.15,1.92,1.49,5.61,9.14,81,375,0,0,Poor,7,3.74,23.43,15.12,28.470179192297408
146,22,Female,High School,6.75,0.77,1.79,5.25,0.71,7.17,6.95,44,340,1,1,Good,10,17.74,16.44,22.95,65.00401176785236
147,17,Female,High School,2.38,0.0,2.53,1.88,1.01,7.25,6.4,64,0,1,0,Poor,2,1.63,13.99,8.44,18.815191227600963
148,24,Other,High School,3.78,2.1,1.9,0.76,1.4,5.8,6.67,119,0,1,0,Average,2,8.22,8.0,23.86,34.44771329232415
149,19,Other,High School,5.38,2.22,2.11,2.03,1.54,6.46,3.81,66,216,1,1,Good,5,14.36,25.65,24.96,36.29312650441294
150,17,Male,High School,2.02,3.3,2.57,4.75,1.65,6.48,5.42,48,404,0,1,Good,10,6.35,23.52,26.7,35.6913613265579
151,19,Other,High School,5.74,1.64,2.56,2.65,1.91,8.1,7.96,150,283,1,1,Good,9,13.54,21.46,36.15,50.45466702326825
152,18,Female,High School,7.06,3.91,3.46,4.73,1.36,6.15,1.98,113,210,1,1,Poor,4,18.0,15.11,31.87,44.142818935544256
153,17,Female,High School,4.9,3.72,2.56,3.14,3.19,6.67,5.58,78,16,0,1,Poor,3,16.23,16.85,18.62,32.92324150842471
154,23,Other,High School,6.54,1.72,2.77,2.05,0.92,6.35,5.09,95,54,0,0,Average,6,16.49,4.94,42.91,53.61059106713025
155,23,Male,High School,5.79,2.78,1.26,1.66,1.4,8.54,2.57,91,0,0,1,Good,4,26.9,0.0,24.65,42.39101364001069
156,22,Male,High School,6.78,2.37,1.39,4.17,1.64,7.04,13.02,104,267,1,1,Average,9,20.52,22.26,50.31,46.844075956138006
157,19,Male,High School,7.5,2.69,2.18,1.69,3.91,7.61,9.43,73,500,1,1,Average,1,16.39,13.98,32.35,56.95373094410271
158,21,Other,High School,6.71,2.32,4.18,4.2,2.1,6.53,5.95,0,307,0,0,Good,2,20.53,34.84,24.14,44.71783899438352
159,22,Other,High School,4.43,2.62,1.78,5.03,2.63,6.86,7.62,127,79,1,1,Good,1,10.47,17.94,10.62,23.64268520994918
160,16,Female,High School,2.7,2.94,2.52,3.33,3.42,7.38,3.96,98,179,1,1,Good,9,17.68,10.6,14.35,18.507622358919495
161,18,Male,High School,0.11,1.75,0.22,1.68,2.98,5.37,6.51,110,437,0,1,Good,10,0.56,6.78,14.61,17.263974324685744
162,20,Female,High School,3.07,3.36,0.59,2.77,2.63,6.73,8.07,40,193,1,0,Good,10,8.7,7.99,17.24,49.117411072479264
163,24,Other,High School,4.87,3.26,3.36,1.21,1.73,7.75,6.33,115,427,1,0,Average,1,10.38,1.63,15.87,30.14174913078363
164,21,Female,High School,3.05,2.2,1.09,3.12,1.5,6.18,1.6,101,126,0,0,Good,3,11.52,2.04,10.1,15.953463492912542
165,20,Male,High School,1.09,0.97,0.28,1.64,3.79,8.08,1.75,62,121,1,0,Average,1,0.0,0.0,1.0,1.337255950788981
166,17,Female,High School,4.89,4.48,1.66,4.81,1.57,5.89,6.7,109,67,1,0,Average,1,14.66,26.57,20.82,37.22920566996523
167,18,Female,High School,3.07,0.61,1.46,2.15,3.02,7.06,10.55,76,447,0,0,Good,2,11.98,18.59,12.11,19.269858250869216
168,17,Other,High School,5.65,2.06,1.18,2.46,1.4,7.73,7.9,66,253,0,1,Good,6,12.32,0.0,35.01,41.05375768922171
169,18,Other,High School,5.72,1.87,0.47,2.11,0.0,4.68,6.0,95,298,0,0,Average,1,22.89,10.83,27.46,41.66889542658465
170,21,Other,High School,6.14,1.69,0.98,3.62,1.19,7.72,6.62,109,392,0,1,Good,4,9.17,1.71,33.23,37.41642150307569
171,24,Male,High School,2.67,0.0,2.7,4.36,2.36,7.6,5.96,47,101,1,1,Good,3,0.0,22.19,10.39,10.123027547472587
172,16,Female,High School,2.89,1.86,1.4,4.29,2.53,8.3,9.41,96,285,1,1,Average,2,2.62,4.83,4.84,19.56405456004279
173,18,Other,High School,4.61,2.45,1.91,5.16,1.96,6.06,7.29,107,0,0,1,Poor,4,16.66,29.37,14.75,26.972452527413747
174,16,Male,High School,0.86,3.39,3.36,1.52,1.25,5.78,5.83,2,147,1,1,Good,4,0.0,15.32,6.83,1.337255950788981
175,22,Female,High School,4.57,3.26,2.29,4.0,2.69,7.04,6.01,93,200,0,0,Poor,2,18.96,17.76,18.09,29.49986627440492
176,21,Other,High School,7.45,1.87,3.59,3.67,1.28,7.35,3.01,115,259,0,1,Good,3,29.57,12.42,37.32,54.867611660871894
177,22,Male,High School,5.86,2.29,0.22,3.61,0.88,6.13,5.23,150,230,1,1,Poor,9,17.37,0.0,34.99,41.50842471248997
178,23,Male,High School,5.01,0.16,3.53,3.4,2.39,7.46,1.42,77,187,1,0,Good,7,10.45,20.19,31.64,44.343407328162606
179,17,Other,High School,4.44,1.74,1.95,1.5,2.59,7.15,6.95,150,377,0,1,Average,5,14.36,1.79,20.63,49.104038512971385
180,19,Female,High School,3.2,1.09,2.89,0.47,2.17,5.59,6.95,58,3,0,1,Poor,1,10.88,0.0,26.09,22.078095747526078
181,19,Female,High School,10.0,1.62,2.96,3.36,1.26,6.87,3.12,41,0,0,0,Good,1,33.03,17.61,40.22,57.36828028884729
182,19,Other,High School,4.99,2.95,2.53,3.07,2.17,8.51,13.56,127,6,1,1,Average,1,10.55,15.75,21.91,37.34955870553624
183,21,Male,High School,4.62,1.84,2.18,6.43,1.87,5.64,1.0,93,90,1,0,Poor,5,12.37,29.31,22.07,33.24418293661407
184,22,Female,High School,5.0,3.02,1.65,2.27,0.65,6.42,8.35,25,213,1,1,Poor,10,18.98,12.07,30.47,47.873763038245514
185,17,Other,High School,4.79,2.08,2.03,4.22,2.19,5.26,5.6,45,342,0,0,Average,4,15.46,23.16,12.28,32.709280556298474
186,16,Other,High School,5.0,2.27,1.45,2.55,2.09,6.48,5.64,113,289,0,1,Poor,7,12.5,12.25,20.49,42.23054292591601
187,20,Male,High School,3.8,0.34,1.2,2.98,2.62,8.62,9.73,79,0,0,1,Good,6,10.11,4.43,21.33,34.34073281626103
188,17,Female,High School,3.71,2.77,3.42,3.4,0.88,6.62,5.14,106,17,1,0,Good,8,17.23,25.71,18.2,25.91602032629045
189,22,Female,High School,5.66,1.55,0.87,3.51,0.64,5.57,8.62,90,226,0,0,Poor,6,14.11,13.21,30.19,47.298742979406256
